Title,Authors,Journal,Year,nSamples,nPositive,Prevalence,HostFamily,HostGenus,Hosts,nSpecies,VirusGenus,VirusSubgenus,VirusStrain,DetectionType,StudyType,DetectionMethod,DetectionMethodSpecific,PCRMethod,GeneTarget,GeneTargetDetailed,Tissue,Sample,Country,State,SamplingSite,Latitude,Longitude,nSamplingTrips,YearDiscrete,MonthsDiscrete,StartYear,StartMonth,EndYear,EndMonth,Summer,Fall,Winter,Spring,TerminalSampling
viral diversity of bat communities in human-dominated landscapes in mexico,Rico-Ch�vez et al.,Veterinaria MÃ©xico OA,2015,152,2,0.013158,Phyllostomidae,Artibeus,Artibeus jamaicensis,1,alphacoronavirus,NA,Mex Cov 5b,single,cross-sectional,PCR,RT-PCR,single,NA,NA,"faecal, rectal, or anal",swab,Mexico,Campeche,Reserva de la BiÃ³sfera Calakmul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
viral diversity of bat communities in human-dominated landscapes in mexico,Rico-Ch�vez et al.,Veterinaria MÃ©xico OA,2015,152,3,0.019737,Phyllostomidae,Artibeus,Artibeus lituratus,1,alphacoronavirus,NA,Mex Cov 5b,single,cross-sectional,PCR,RT-PCR,single,NA,NA,"faecal, rectal, or anal",swab,Mexico,Campeche,Reserva de la BiÃ³sfera Calakmul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
viral diversity of bat communities in human-dominated landscapes in mexico,Rico-Ch�vez et al.,Veterinaria MÃ©xico OA,2015,152,1,0.006579,Phyllostomidae,Artibeus,Artibeus lituratus,1,betacoronavirus,NA,Mex Cov 11b,single,cross-sectional,PCR,RT-PCR,single,NA,NA,"faecal, rectal, or anal",swab,Mexico,Campeche,Reserva de la BiÃ³sfera Calakmul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
viral diversity of bat communities in human-dominated landscapes in mexico,Rico-Ch�vez et al.,Veterinaria MÃ©xico OA,2015,152,1,0.006579,Phyllostomidae,Dermanura,Dermanura phaeotis,1,betacoronavirus,NA,Mex Cov 11b,single,cross-sectional,PCR,RT-PCR,single,NA,NA,"faecal, rectal, or anal",swab,Mexico,Campeche,Reserva de la BiÃ³sfera Calakmul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
viral diversity of bat communities in human-dominated landscapes in mexico,Rico-Ch�vez et al.,Veterinaria MÃ©xico OA,2015,152,1,0.006579,Mormoopidae,Pteronotus,Pteronotus parnellii,1,betacoronavirus,NA,Mex Cov 10,single,cross-sectional,PCR,RT-PCR,single,NA,NA,"faecal, rectal, or anal",swab,Mexico,Campeche,Reserva de la BiÃ³sfera Calakmul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
viral diversity of bat communities in human-dominated landscapes in mexico,Rico-Ch�vez et al.,Veterinaria MÃ©xico OA,2015,65,1,0.015385,Phyllostomidae,Carollia,Carollia perspicillata,1,alphacoronavirus,NA,Mex Cov 1,single,cross-sectional,PCR,RT-PCR,single,NA,NA,"faecal, rectal, or anal",swab,Mexico,Campeche,Reserva de la BiÃ³sfera Calakmul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
viral diversity of bat communities in human-dominated landscapes in mexico,Rico-Ch�vez et al.,Veterinaria MÃ©xico OA,2015,65,3,0.046154,Phyllostomidae,Carollia,Carollia sowelli,1,alphacoronavirus,NA,"Mex Cov 1 (1), Mex Cov 2 (1), Mex Cov 5b (1)",single,cross-sectional,PCR,RT-PCR,single,NA,NA,"faecal, rectal, or anal",swab,Mexico,Campeche,Reserva de la BiÃ³sfera Calakmul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
viral diversity of bat communities in human-dominated landscapes in mexico,Rico-Ch�vez et al.,Veterinaria MÃ©xico OA,2015,65,1,0.015385,Phyllostomidae,Artibeus,Artibeus jamaicensis,1,alphacoronavirus,NA,Mex Cov 4,single,cross-sectional,PCR,RT-PCR,single,NA,NA,"faecal, rectal, or anal",swab,Mexico,Campeche,Reserva de la BiÃ³sfera Calakmul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
viral diversity of bat communities in human-dominated landscapes in mexico,Rico-Ch�vez et al.,Veterinaria MÃ©xico OA,2015,65,1,0.015385,Molossidae,Nyctinomops,Nyctinomops laticaudatus,1,betacoronavirus,NA,Mex Cov 9,single,cross-sectional,PCR,RT-PCR,single,NA,NA,"faecal, rectal, or anal",swab,Mexico,Campeche,Reserva de la BiÃ³sfera Calakmul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
viral diversity of bat communities in human-dominated landscapes in mexico,Rico-Ch�vez et al.,Veterinaria MÃ©xico OA,2015,102,1,0.009804,Phyllostomidae,Carollia,Carollia perspicillata,1,alphacoronavirus,NA,Mex Cov 1,single,cross-sectional,PCR,RT-PCR,single,NA,NA,"faecal, rectal, or anal",swab,Mexico,Campeche,Reserva de la BiÃ³sfera Calakmul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
viral diversity of bat communities in human-dominated landscapes in mexico,Rico-Ch�vez et al.,Veterinaria MÃ©xico OA,2015,102,1,0.009804,Phyllostomidae,Carollia,Carollia sowelli,1,alphacoronavirus,NA,Mex Cov 2,single,cross-sectional,PCR,RT-PCR,single,NA,NA,"faecal, rectal, or anal",swab,Mexico,Campeche,Reserva de la BiÃ³sfera Calakmul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
viral diversity of bat communities in human-dominated landscapes in mexico,Rico-Ch�vez et al.,Veterinaria MÃ©xico OA,2015,102,1,0.009804,Phyllostomidae,Artibeus,Artibeus lituratus,1,betacoronavirus,NA,Mex Cov 11a,single,cross-sectional,PCR,RT-PCR,single,NA,NA,"faecal, rectal, or anal",swab,Mexico,Campeche,Reserva de la BiÃ³sfera Calakmul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
viral diversity of bat communities in human-dominated landscapes in mexico,Rico-Ch�vez et al.,Veterinaria MÃ©xico OA,2015,10,1,0.1,Vespertilionidae,Myotis,Myotis velifer,1,alphacoronavirus,NA,Mex Cov 7,single,cross-sectional,PCR,RT-PCR,single,NA,NA,"faecal, rectal, or anal",swab,Mexico,Greater Mexico City,"Distrito Federal, Metropolitan Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
viral diversity of bat communities in human-dominated landscapes in mexico,Rico-Ch�vez et al.,Veterinaria MÃ©xico OA,2015,49,2,0.040816,Vespertilionidae,Myotis,Myotis velifer,1,alphacoronavirus,NA,Mex Cov 7,single,cross-sectional,PCR,RT-PCR,single,NA,NA,"faecal, rectal, or anal",swab,Mexico,Greater Mexico City,"Distrito Federal, Metropolitan Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
viral diversity of bat communities in human-dominated landscapes in mexico,Rico-Ch�vez et al.,Veterinaria MÃ©xico OA,2015,49,3,0.061224,Molossidae,Tadarida,Tadarida brasiliensis,1,alphacoronavirus,NA,Mex Cov 8,single,cross-sectional,PCR,RT-PCR,single,NA,NA,"faecal, rectal, or anal",swab,Mexico,Greater Mexico City,"Distrito Federal, Metropolitan Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
genomic characterization of severe acute respiratory syndrome-related coronavirus in european bats and classification of coronaviruses based on partial rna-dependent rna polymerase gene sequences,Drexler et al.,J Virol,2010,38,14,0.368421,Miniopteridae,Miniopterus,Miniopterus schreibersii,1,alphacoronavirus,NA,HKU7 related,single,cross-sectional,PCR,RT-PCR,single,RdRp,RdRp,"faecal, rectal, or anal",faeces,Bulgaria,NA,Roman Horse Cave,42.09186111,27.20869444,NA,2008,April,NA,NA,NA,NA,0,0,0,1,No
genomic characterization of severe acute respiratory syndrome-related coronavirus in european bats and classification of coronaviruses based on partial rna-dependent rna polymerase gene sequences,Drexler et al.,J Virol,2010,38,14,0.368421,Miniopteridae,Miniopterus,Miniopterus schreibersii,1,alphacoronavirus,NA,HKU8 related,single,cross-sectional,PCR,RT-PCR,single,RdRp,RdRp,"faecal, rectal, or anal",faeces,Bulgaria,NA,Roman Horse Cave,42.09186111,27.20869444,NA,2008,April,NA,NA,NA,NA,0,0,0,1,No
genomic characterization of severe acute respiratory syndrome-related coronavirus in european bats and classification of coronaviruses based on partial rna-dependent rna polymerase gene sequences,Drexler et al.,J Virol,2010,38,18,0.473684,Miniopteridae,Miniopterus,Miniopterus schreibersii,1,alphacoronavirus,NA,BtCoV1A related,single,cross-sectional,PCR,RT-PCR,single,RdRp,RdRp,"faecal, rectal, or anal",faeces,Bulgaria,NA,Roman Horse Cave,42.09186111,27.20869444,NA,2008,April,NA,NA,NA,NA,0,0,0,1,No
longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,44,11,0.25,Pteropodidae,Pteropus,Pteropus lylei,1,genus not specified,NA,NA,pooled,longitudinal,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",swab,Thailand,Chonburi,"S1 (house), Luang temple",13.830018,101.8090549,NA,2012,NA,NA,January,NA,December,1,1,1,1,No
longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,99,35,0.353535,Pteropodidae,Pteropus,Pteropus lylei,1,genus not specified,NA,NA,pooled,longitudinal,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",swab,Thailand,Chonburi,"S2 (pig farm), Luang temple",13.830018,101.8090549,NA,2012,NA,NA,January,NA,December,1,1,1,1,No
longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,224,22,0.098214,Pteropodidae,Pteropus,Pteropus lylei,1,genus not specified,NA,NA,pooled,longitudinal,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",swab,Thailand,Chonburi,"S3 (roost), Luang temple",13.830018,101.8090549,NA,2012,NA,NA,January,NA,December,1,1,1,1,No
longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,14,4,0.285714,Pteropodidae,Pteropus,Pteropus lylei,1,genus not specified,NA,NA,pooled,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",swab,Thailand,Chonburi,"S1, S2, S3 (pooled)",NA,NA,NA,2012,January,NA,NA,NA,NA,0,0,1,0,No
longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,14,0,0,Pteropodidae,Pteropus,Pteropus lylei,1,genus not specified,NA,NA,pooled,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",swab,Thailand,Chonburi,"S1, S2, S3 (pooled)",NA,NA,NA,2012,February,NA,NA,NA,NA,0,0,1,0,No
longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,20,0,0,Pteropodidae,Pteropus,Pteropus lylei,1,genus not specified,NA,NA,pooled,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",swab,Thailand,Chonburi,"S1, S2, S3 (pooled)",NA,NA,NA,2012,March,NA,NA,NA,NA,0,0,0,1,No
longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,46,2,0.043478,Pteropodidae,Pteropus,Pteropus lylei,1,genus not specified,NA,NA,pooled,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",swab,Thailand,Chonburi,"S1, S2, S3 (pooled)",NA,NA,NA,2012,April,NA,NA,NA,NA,0,0,0,1,No
longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,39,16,0.410256,Pteropodidae,Pteropus,Pteropus lylei,1,genus not specified,NA,NA,pooled,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",swab,Thailand,Chonburi,"S1, S2, S3 (pooled)",NA,NA,NA,2012,May,NA,NA,NA,NA,0,0,0,1,No
longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,29,14,0.482759,Pteropodidae,Pteropus,Pteropus lylei,1,genus not specified,NA,NA,pooled,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",swab,Thailand,Chonburi,"S1, S2, S3 (pooled)",NA,NA,NA,2012,June,NA,NA,NA,NA,1,0,0,0,No
longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,46,14,0.304348,Pteropodidae,Pteropus,Pteropus lylei,1,genus not specified,NA,NA,pooled,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",swab,Thailand,Chonburi,"S1, S2, S3 (pooled)",NA,NA,NA,2012,July,NA,NA,NA,NA,1,0,0,0,No
longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,35,9,0.257143,Pteropodidae,Pteropus,Pteropus lylei,1,genus not specified,NA,NA,pooled,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",swab,Thailand,Chonburi,"S1, S2, S3 (pooled)",NA,NA,NA,2012,August,NA,NA,NA,NA,1,0,0,0,No
longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,35,6,0.171429,Pteropodidae,Pteropus,Pteropus lylei,1,genus not specified,NA,NA,pooled,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",swab,Thailand,Chonburi,"S1, S2, S3 (pooled)",NA,NA,NA,2012,September,NA,NA,NA,NA,0,1,0,0,No
longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,27,3,0.111111,Pteropodidae,Pteropus,Pteropus lylei,1,genus not specified,NA,NA,pooled,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",swab,Thailand,Chonburi,"S1, S2, S3 (pooled)",NA,NA,NA,2012,October,NA,NA,NA,NA,0,1,0,0,No
longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,36,0,0,Pteropodidae,Pteropus,Pteropus lylei,1,genus not specified,NA,NA,pooled,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",swab,Thailand,Chonburi,"S1, S2, S3 (pooled)",NA,NA,NA,2012,November,NA,NA,NA,NA,0,1,0,0,No
longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,26,0,0,Pteropodidae,Pteropus,Pteropus lylei,1,genus not specified,NA,NA,pooled,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",swab,Thailand,Chonburi,"S1, S2, S3 (pooled)",NA,NA,NA,2012,December,NA,NA,NA,NA,0,0,1,0,No
a coronavirus detected in the vampire bat desmodus rotundus,Brand�o et al.,Braz J Infect Dis,2008,3,1,0.333333,Phyllostomidae,Desmodus,Desmodus rotundus,1,betacoronavirus,NA,BatCoV DR/2007,pooled,cross-sectional,PCR,"RT-PCR,nested RT-PCR",multiple,Other,ORF 1b,intestine,tissue,Brazil,Sao Paulo,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,1,1,1,1,Yes
"a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat",Subudhi et al.,J Gen Virol,2017,47,17,0.361702,Vespertilionidae,Myotis,Myotis lucifugus,1,alphacoronavirus,Colacovirus,Myl-CoV CDPHE15,repeat,longitudinal,PCR,semi-nested RT-PCR,multiple,RdRp,RdRp,intestine,tissue,Canada,Manitoba,NA,NA,NA,NA,2011,NA,NA,NA,NA,NA,0,0,1,0,Yes
"a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat",Subudhi et al.,J Gen Virol,2017,127,36,0.283465,Vespertilionidae,Myotis,Myotis lucifugus,1,alphacoronavirus,Colacovirus,Myl-CoV CDPHE15,repeat,longitudinal,PCR,semi-nested RT-PCR,multiple,RdRp,RdRp,intestine,tissue,Canada,Manitoba,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,0,0,1,0,Yes
"a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat",Subudhi et al.,J Gen Virol,2017,174,5,0.028736,Vespertilionidae,Myotis,Myotis lucifugus,1,alphacoronavirus,Colacovirus,Myl-CoV CDPHE15,pooled,longitudinal,NA,NA,NA,NA,NA,lung or respiratory,tissue,Canada,Manitoba,NA,NA,NA,NA,NA,NA,2011,NA,2012,NA,0,0,1,0,Yes
a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys,Balboni et al.,Scientificworldjournal,2012,11,10,0.909091,Rhinolophidae,Rhinolophus,Rhinolophus ferrumequinum,1,betacoronavirus,Sarbecovirus,NA,single,cross-sectional,PCR,RT-PCR,single,RdRp,RdRp,"faecal, rectal, or anal",faeces,Italy,Modena,San Cesario sul Panaro,NA,NA,NA,2009,August,NA,NA,NA,NA,1,0,0,0,No
a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys,Balboni et al.,Scientificworldjournal,2012,1,0,0,Rhinolophidae,Rhinolophus,Rhinolophus ferrumequinum,1,genus not specified,NA,NA,single,cross-sectional,PCR,RT-PCR,single,RdRp,RdRp,"faecal, rectal, or anal",faeces,Italy,Perugia,Sigillo,NA,NA,NA,2009,September,NA,NA,NA,NA,0,1,0,0,No
a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys,Balboni et al.,Scientificworldjournal,2012,2,0,0,Rhinolophidae,Rhinolophus,Rhinolophus ferrumequinum,1,genus not specified,NA,NA,single,cross-sectional,PCR,RT-PCR,single,RdRp,RdRp,"faecal, rectal, or anal",faeces,Italy,Bologna,"Monte Croara, S. Lazzaro",NA,NA,NA,2009,October,NA,NA,NA,NA,0,1,0,0,No
a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys,Balboni et al.,Scientificworldjournal,2012,10,0,0,Rhinolophidae,Rhinolophus,Rhinolophus ferrumequinum,1,genus not specified,NA,NA,single,cross-sectional,PCR,RT-PCR,single,RdRp,RdRp,"faecal, rectal, or anal",faeces,Italy,Cuneo,Piobesi dâ€™Alba,NA,NA,NA,2009,October,NA,NA,NA,NA,0,1,0,0,No
a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys,Balboni et al.,Scientificworldjournal,2012,12,3,0.25,Rhinolophidae,Rhinolophus,Rhinolophus ferrumequinum,1,betacoronavirus,Sarbecovirus,NA,single,cross-sectional,PCR,RT-PCR,single,RdRp,RdRp,"faecal, rectal, or anal",faeces,Italy,Cuneo,Rossana,NA,NA,NA,2009,October,NA,NA,NA,NA,0,1,0,0,No
a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys,Balboni et al.,Scientificworldjournal,2012,3,3,1,Rhinolophidae,Rhinolophus,Rhinolophus ferrumequinum,1,betacoronavirus,Sarbecovirus,NA,single,cross-sectional,PCR,RT-PCR,single,RdRp,RdRp,"faecal, rectal, or anal",faeces,Italy,Savona,Giovo,NA,NA,NA,2009,October,NA,NA,NA,NA,0,1,0,0,No
a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys,Balboni et al.,Scientificworldjournal,2012,3,1,0.333333,Rhinolophidae,Rhinolophus,Rhinolophus ferrumequinum,1,betacoronavirus,Sarbecovirus,NA,single,cross-sectional,PCR,RT-PCR,single,RdRp,RdRp,"faecal, rectal, or anal",faeces,Italy,Piacenza,Val di Trebbia,NA,NA,NA,2009,October,NA,NA,NA,NA,0,1,0,0,No
a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys,Balboni et al.,Scientificworldjournal,2012,3,2,0.666667,Rhinolophidae,Rhinolophus,Rhinolophus ferrumequinum,1,betacoronavirus,Sarbecovirus,NA,single,cross-sectional,PCR,RT-PCR,single,RdRp,RdRp,"faecal, rectal, or anal",faeces,Italy,Piacenza,Castellâ€™arquato,NA,NA,NA,2009,November,NA,NA,NA,NA,0,1,0,0,No
alphacoronavirus detected in bats in the united kingdom,August et al.,Vector-borne and Zoonotic Diseases,2012,16,12,0.75,Vespertilionidae,Myotis,Myotis nattereri,1,alphacoronavirus,NA,NA,single,cross-sectional,PCR,semi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",faeces,United Kingdom,Oxfordshire,Wytham Woods,52.29083333,-1.561388889,NA,NA,NA,2006,NA,2009,NA,1,1,1,1,No
alphacoronavirus detected in bats in the united kingdom,August et al.,Vector-borne and Zoonotic Diseases,2012,16,9,0.5625,Vespertilionidae,Myotis,Myotis nattereri,1,alphacoronavirus,NA,NA,single,cross-sectional,PCR,semi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",faeces,United Kingdom,Wiltshire,Savernake Forest,51.67666667,-2.1375,NA,NA,NA,2006,NA,2009,NA,1,1,1,1,No
alphacoronavirus detected in bats in the united kingdom,August et al.,Vector-borne and Zoonotic Diseases,2012,30,5,0.166667,Vespertilionidae,Myotis,Myotis daubentonii,1,alphacoronavirus,NA,NA,single,cross-sectional,PCR,semi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",faeces,United Kingdom,Oxfordshire,Wytham Woods,52.29083333,-1.561388889,NA,NA,NA,2006,NA,2009,NA,1,1,1,1,No
alphacoronavirus detected in bats in the united kingdom,August et al.,Vector-borne and Zoonotic Diseases,2012,26,0,0,Vespertilionidae,Plecotus,Plecotus auritus,1,genus not specified,NA,NA,single,cross-sectional,PCR,semi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",faeces,United Kingdom,Oxfordshire,Wytham Woods,52.29083333,-1.561388889,NA,NA,NA,2006,NA,2009,NA,1,1,1,1,No
